purpose|цель
quality|качество
realize|осознавать
receive|получать
recommend|рекомендовать
relationship|отношение
research|исследование
responsible|ответственный
result|результат
routine|рутина
safety|безопасность
satisfy|удовлетворять
schedule|расписание
service|услуга
solution|решение
successful|успешный
suggest|предлагать
support|поддерживать
technology|технология
temperature|температура
tradition|традиция
transportation|транспорт
understand|понимать
university|университет
vacation|отпуск
valuable|ценный
variety|разнообразие
visitor|посетитель
weather|погода
website|веб-сайт
welcome|приветствовать
wonderful|замечательный
yesterday|вчера
youth|молодежь
